symbol,ExpDate
A,1/17/2020
AAPL,1/17/2020
ABBV,1/17/2020
ABEV,1/17/2020
ABT,1/17/2020
ACIA,1/17/2020
ADBE,1/17/2020
ADI,1/17/2020
ADSK,1/17/2020
AEIS,1/17/2020
AGCO,1/17/2020
ALRM,1/17/2020
AMAT,1/17/2020
AMD,1/17/2020
AMED,1/17/2020
AMKR,1/17/2020
APH,1/17/2020
ARES,1/17/2020
ASB,1/17/2020
ASML,1/17/2020
AVGO,1/17/2020
AVY,1/17/2020
AZN,1/17/2020
BA,1/17/2020
BABA,1/17/2020
BIDU,1/17/2020
BIG,1/17/2020
CAMT,1/17/2020
CAT,1/17/2020
CBOE,1/17/2020
CCMP,1/17/2020
CELG,1/17/2020
CHCT,1/17/2020
CHKP,1/17/2020
CHL,1/17/2020
CHU,1/17/2020
CNMD,1/17/2020
COHR,1/17/2020
COST,1/17/2020
CRM,1/17/2020
CRUS,1/17/2020
CTSH,1/17/2020
CY,1/17/2020
DG,1/17/2020
DGX,1/17/2020
DIOD,1/17/2020
DIS,1/17/2020
DLTR,1/17/2020
DOCU,1/17/2020
DPZ,1/17/2020
EFX,1/17/2020
ESE,1/17/2020
FAST,1/17/2020
FB,1/17/2020
FICO,1/17/2020
FISV,1/17/2020
FISV,1/17/2020
GIB,1/17/2020
HCKT,1/17/2020
HD,1/17/2020
HUBS,1/17/2020
IAA,1/17/2020
IBM,1/17/2020
INTC,1/17/2020
INTU,1/17/2020
IRBT,1/17/2020
ITRI,1/17/2020
JBL,1/17/2020
KEYS,1/17/2020
KLAC,1/17/2020
KO,1/17/2020
KRNT,1/17/2020
LEG,1/17/2020
LITE,1/17/2020
LOW,1/17/2020
LRCX,1/17/2020
LYFT,1/17/2020
MCD,1/17/2020
MCHP,1/17/2020
MIXT,1/17/2020
MKSI,1/17/2020
MLNX,1/17/2020
MRK,1/17/2020
MRVL,1/17/2020
MSFT,1/17/2020
MU,1/17/2020
MXIM,1/17/2020
NFLX,1/17/2020
NKE,1/17/2020
NOVT,1/17/2020
NOW,1/17/2020
NVMI,1/17/2020
OLED,1/17/2020
OLLI,1/17/2020
ON,1/17/2020
ORA,1/17/2020
PAYC,1/17/2020
PCG,1/17/2020
PEP,1/17/2020
PFE,1/17/2020
PLXS,1/17/2020
PNR,1/17/2020
QCOM,1/17/2020
QQQ,1/17/2020
QRVO,1/17/2020
RDFN,1/17/2020
RDNT,1/17/2020
RH,1/17/2020
RMBS,1/17/2020
RMD,1/17/2020
RNG,1/17/2020
ROKU,1/17/2020
SAFE,1/17/2020
SAGE,1/17/2020
SBUX,1/17/2020
SIMO,1/17/2020
SLAB,1/17/2020
SPLK,1/17/2020
SPNS,1/17/2020
STX,1/17/2020
SWKS,1/17/2020
SYNA,1/17/2020
T,1/17/2020
TEAM,1/17/2020
TECD,1/17/2020
TEL,1/17/2020
TER,1/17/2020
TGT,1/17/2020
TTEK,1/17/2020
TWTR,1/17/2020
TXN,1/17/2020
UBER,1/17/2020
UEIC,1/17/2020
UI,1/17/2020
UTX,1/17/2020
V,1/17/2020
VEEV,1/17/2020
WEN,1/17/2020
WIRE,1/17/2020
WMT,1/17/2020
Z,1/17/2020
ZEN,1/17/2020
GLD,1/17/2020
