Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CAMT_122019P2.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_122019P5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:10.05:72869:0.0:0:0:0:U:U
CAMT_122019P7.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_122019P10,10:10.82,10:10.82,10:10.77,10:9.86:405203:0.65:2,10:9.9:197021:0.65:0,10:9.89:195799:0.5:1,10:10.1:167685:0.5:0,10:10.25:105619:0.5:0,10:10.34:71515:0.5:0,10:10.38:107395:0.5:0,10:10.28:92466:0.25:3,13:10.26:53673:0.29:100,113:10.27:43261:0.29:0,113:10.135:81111:0.29:0,U:0:0:U:U
CAMT_122019P12.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_122019P15,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_122019P17.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_122019P20,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P10,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P12.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P15,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,0:0:0:0.0:0
CAMT_011720P17.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P2.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P20,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
CAMT_011720P7.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,U:0:0:U:U
