Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
UEIC_122019P30,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P35,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P40,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P45,1:59.41:252988:1.3:0,1:59.57:101630:1.3:0,1:58.76:63395:0.4:1,0:58.34:64034:0.4:0,0:57.89:67195:0.4:0,0:56.94:65045:0.4:0,0:57.36:96324:0.4:0,0:57.34:64972:0.4:0,0:56.09:59457:0.4:0,[0:55.53:34828:0.4:0
UEIC_122019P50,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P55,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P60,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P65,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P70,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_122019P75,0:59.41:252988:0.0:0,0:59.57:101630:0.0:0,0:58.76:63395:0.0:0,0:58.34:64034:0.0:0,0:57.89:67195:0.0:0,0:56.94:65045:0.0:0,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P30,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P35,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P40,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P45,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P50,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P55,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P60,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P65,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P70,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P75,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P80,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
UEIC_011720P85,U,U,U,U,U,U,0:57.36:96324:0.0:0,0:57.34:64972:0.0:0,0:56.09:59457:0.0:0,[0:55.53:34828:0.0:0
