Symbol,20191028,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191120,20191121,20191122
ZEN_122019P40,0:66.68,0:69.44,430:70.65,430.0,431:71.96,431:70.71,431:70.32,431:69.84:932779:0.15:0,431:70.83:872355:0.15:0,431:72.31:1228322:0.15:0,431:73.51:1572571:0.15:0,431:73.87:1000566:0.15:0,431:74.07:1416288:0.15:0,431:75.44:1409401:0.15:0,431:77.21:2269205:0.15:0,431:78.03:1834183:0.15:0,431:78.81:1341632:0.15:0,431:78.9:1509571:0.15:0
ZEN_122019P45,2:66.68,4:69.44,4:70.65,4.0,4:71.96,4:70.71,4:70.32,4:69.84:932779:0.1:2,4:70.83:872355:0.1:0,4:72.31:1228322:0.1:0,4:73.51:1572571:0.1:0,4:73.87:1000566:0.1:0,4:74.07:1416288:0.1:0,4:75.44:1409401:0.1:0,4:77.21:2269205:0.1:0,4:78.03:1834183:0.1:0,4:78.81:1341632:0.1:0,4:78.9:1509571:0.1:0
ZEN_122019P50,35:66.68,72:69.44,56:70.65,56.0,55:71.96,55:70.71,55:70.32,52:69.84:932779:0.22:10,50:70.83:872355:0.22:0,50:72.31:1228322:0.22:0,50:73.51:1572571:0.23:7,43:73.87:1000566:0.23:0,43:74.07:1416288:0.1:2,43:75.44:1409401:0.16:1,43:77.21:2269205:0.16:0,43:78.03:1834183:0.16:0,43:78.81:1341632:0.16:0,[43:78.9:1509571:0.16:0
ZEN_122019P55,117:66.68,135:69.44,105:70.65,105.0,105:71.96,96:70.71,96:70.32,96:69.84:932779:0.38:2,94:70.83:872355:0.38:0,94:72.31:1228322:0.25:1,94:73.51:1572571:0.35:7,94:73.87:1000566:0.35:0,94:74.07:1416288:0.35:0,94:75.44:1409401:0.35:0,94:77.21:2269205:0.35:0,94:78.03:1834183:0.1:0,94:78.81:1341632:0.1:0,[94:78.9:1509571:0.1:0
ZEN_122019P60,521:66.68,537:69.44,555:70.65,555.0,555:71.96,554:70.71,555:70.32,555:69.84:932779:0.78:4,559:70.83:872355:0.66:3,560:72.31:1228322:0.52:1,560:73.51:1572571:0.4:8,561:73.87:1000566:0.4:0,561:74.07:1416288:0.35:1,561:75.44:1409401:0.22:100,661:77.21:2269205:0.1:222,847:78.03:1834183:0.1:0,847:78.81:1341632:0.1:0,[847:78.9:1509571:0.1:0
ZEN_122019P62.5,11:66.68,11:69.44,13:70.65,13.0,61:71.96,79:70.71,91:70.32,96:69.84:932779:1.3:0,96:70.83:872355:1.0:1,97:72.31:1228322:0.7:1,98:73.51:1572571:0.57:170,248:73.87:1000566:0.57:0,248:74.07:1416288:0.57:0,248:75.44:1409401:0.57:0,248:77.21:2269205:0.27:46,293:78.03:1834183:0.17:1,293:78.81:1341632:0.2:100,[343:78.9:1509571:0.2:0
ZEN_122019P65,175:66.68,189:69.44,188:70.65,188.0,189:71.96,199:70.71,191:70.32,191:69.84:932779:1.8:0,191:70.83:872355:1.85:1,191:72.31:1228322:1.1:41,204:73.51:1572571:0.85:6,204:73.87:1000566:0.82:1,205:74.07:1416288:0.82:0,205:75.44:1409401:0.82:0,205:77.21:2269205:0.35:35,205:78.03:1834183:0.32:3,205:78.81:1341632:0.32:0,[205:78.9:1509571:0.28:1
ZEN_122019P67.5,10:66.68,20:69.44,110:70.65,110.0,110:71.96,101:70.71,101:70.32,104:69.84:932779:2.55:0,104:70.83:872355:2.65:1,104:72.31:1228322:1.55:7,106:73.51:1572571:1.35:12,106:73.87:1000566:1.35:0,106:74.07:1416288:1.35:0,106:75.44:1409401:0.85:3,104:77.21:2269205:0.6:1,104:78.03:1834183:0.47:7,103:78.81:1341632:0.46:1,[104:78.9:1509571:0.5:1
ZEN_122019P70,140:66.68,147:69.44,391:70.65,391.0,421:71.96,421:70.71,425:70.32,446:69.84:932779:3.2:61,505:70.83:872355:3.8:1,505:72.31:1228322:2.3:6,509:73.51:1572571:2.0:178,633:73.87:1000566:1.85:9,642:74.07:1416288:1.8:16,651:75.44:1409401:1.37:4,652:77.21:2269205:1.0:260,821:78.03:1834183:0.82:7,818:78.81:1341632:0.75:4,[816:78.9:1509571:0.75:11
ZEN_122019P72.5,138:66.68,136:69.44,116:70.65,116.0,106:71.96,106:70.71,106:70.32,86:69.84:932779:4.6:20,66:70.83:872355:4.6:0,66:72.31:1228322:3.56:26,69:73.51:1572571:2.85:21,76:73.87:1000566:2.85:0,76:74.07:1416288:2.65:247,284:75.44:1409401:2.05:14,286:77.21:2269205:1.5:41,313:78.03:1834183:1.25:240,304:78.81:1341632:1.1:9,[303:78.9:1509571:1.07:23
ZEN_122019P75,233:66.68,233:69.44,233:70.65,233.0,239:71.96,239:70.71,239:70.32,1242:69.84:932779:6.0:14,1245:70.83:872355:5.7:3,1245:72.31:1228322:5.24:11,1252:73.51:1572571:4.2:1,1251:73.87:1000566:4.0:7,1257:74.07:1416288:3.9:23,1255:75.44:1409401:3.01:87,1268:77.21:2269205:2.25:43,1275:78.03:1834183:1.97:105,1346:78.81:1341632:1.8:2,[1348:78.9:1509571:1.73:5
ZEN_122019P77.5,153:66.68,153:69.44,153:70.65,153.0,153:71.96,153:70.71,153:70.32,153:69.84:932779:7.9:0,153:70.83:872355:7.9:0,153:72.31:1228322:7.15:1,153:73.51:1572571:5.5:3,153:73.87:1000566:5.5:0,153:74.07:1416288:5.5:0,153:75.44:1409401:5.5:0,153:77.21:2269205:3.25:1,163:78.03:1834183:3.1:18,180:78.81:1341632:2.7:22,[174:78.9:1509571:2.6:26
ZEN_122019P80,111:66.68,111:69.44,111:70.65,111.0,111:71.96,111:70.71,111:70.32,111:69.84:932779:16.5:0,111:70.83:872355:16.5:0,111:72.31:1228322:16.5:0,111:73.51:1572571:8.1:7,117:73.87:1000566:7.46:2,119:74.07:1416288:7.3:3,122:75.44:1409401:7.29:3,122:77.21:2269205:5.14:10,121:78.03:1834183:4.77:0,121:78.81:1341632:4.0:11,[114:78.9:1509571:4.0:25
ZEN_122019P82.5,11:66.68,11:69.44,11:70.65,11.0,11:71.96,11:70.71,11:70.32,11:69.84:932779:9.9:0,11:70.83:872355:9.9:0,11:72.31:1228322:9.9:0,11:73.51:1572571:9.9:0,11:73.87:1000566:9.9:0,11:74.07:1416288:9.9:0,11:75.44:1409401:9.9:0,11:77.21:2269205:9.9:0,11:78.03:1834183:9.9:0,11:78.81:1341632:9.9:0,[11:78.9:1509571:9.9:0
ZEN_122019P85,1:66.68,1:69.44,1:70.65,1.0,7:71.96,7:70.71,10:70.32,10:69.84:932779:13.92:0,10:70.83:872355:13.92:0,10:72.31:1228322:13.92:0,10:73.51:1572571:11.9:3,10:73.87:1000566:11.9:0,10:74.07:1416288:11.9:0,10:75.44:1409401:11.9:0,10:77.21:2269205:11.9:0,10:78.03:1834183:7.2:2,12:78.81:1341632:7.4:1,[13:78.9:1509571:7.4:1
ZEN_122019P87.5,6:66.68,6:69.44,6:70.65,6.0,6:71.96,6:70.71,6:70.32,6:69.84:932779:13.6:0,6:70.83:872355:13.6:0,6:72.31:1228322:13.6:0,6:73.51:1572571:13.6:0,6:73.87:1000566:13.6:0,6:74.07:1416288:13.6:0,6:75.44:1409401:13.6:0,6:77.21:2269205:13.6:0,6:78.03:1834183:13.6:0,6:78.81:1341632:13.6:0,[6:78.9:1509571:9.3:4
ZEN_122019P90,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_122019P95,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_122019P100,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_122019P105,0:66.68,0:69.44,0:70.65,0.0,0:71.96,0:70.71,0:70.32,0:69.84:932779:0.0:0,0:70.83:872355:0.0:0,0:72.31:1228322:0.0:0,0:73.51:1572571:0.0:0,0:73.87:1000566:0.0:0,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_011720P100,U,U,U,U,U,U,U,U,U,U,U,U,345:74.07:1416288:26.3:0,345:75.44:1409401:26.3:0,345:77.21:2269205:26.3:0,345:78.03:1834183:22.3:0,345:78.81:1341632:22.3:0,[345:78.9:1509571:22.3:0
ZEN_011720P25,U,U,U,U,U,U,U,U,U,U,U,U,63:74.07:1416288:0.15:0,63:75.44:1409401:0.15:0,63:77.21:2269205:0.15:0,63:78.03:1834183:0.15:0,63:78.81:1341632:0.15:0,63:78.9:1509571:0.15:0
ZEN_011720P30,U,U,U,U,U,U,U,U,U,U,U,U,36:74.07:1416288:0.2:0,36:75.44:1409401:0.2:0,36:77.21:2269205:0.2:0,36:78.03:1834183:0.2:0,36:78.81:1341632:0.2:0,36:78.9:1509571:0.2:0
ZEN_011720P35,U,U,U,U,U,U,U,U,U,U,U,U,20:74.07:1416288:0.55:0,20:75.44:1409401:0.55:0,20:77.21:2269205:0.55:0,20:78.03:1834183:0.55:0,20:78.81:1341632:0.55:0,[20:78.9:1509571:0.55:0
ZEN_011720P40,U,U,U,U,U,U,U,U,U,U,U,U,56:74.07:1416288:0.6:0,56:75.44:1409401:0.6:0,56:77.21:2269205:0.6:0,56:78.03:1834183:0.6:0,56:78.81:1341632:0.6:0,[56:78.9:1509571:0.6:0
ZEN_011720P45,U,U,U,U,U,U,U,U,U,U,U,U,312:74.07:1416288:0.3:0,312:75.44:1409401:0.3:0,312:77.21:2269205:0.3:0,312:78.03:1834183:0.3:0,312:78.81:1341632:0.3:0,[312:78.9:1509571:0.3:0
ZEN_011720P50,U,U,U,U,U,U,U,U,U,U,U,U,109:74.07:1416288:1.47:0,109:75.44:1409401:0.3:1,109:77.21:2269205:0.3:0,109:78.03:1834183:0.3:0,109:78.81:1341632:0.3:0,[109:78.9:1509571:0.3:0
ZEN_011720P55,U,U,U,U,U,U,U,U,U,U,U,U,527:74.07:1416288:0.85:0,527:75.44:1409401:0.85:0,527:77.21:2269205:0.85:0,527:78.03:1834183:0.85:0,527:78.81:1341632:0.85:0,[527:78.9:1509571:0.26:2
ZEN_011720P60,U,U,U,U,U,U,U,U,U,U,U,U,215:74.07:1416288:0.98:0,215:75.44:1409401:0.98:0,215:77.21:2269205:0.98:0,215:78.03:1834183:0.6:4,215:78.81:1341632:0.6:0,[215:78.9:1509571:0.6:0
ZEN_011720P65,U,U,U,U,U,U,U,U,U,U,U,U,828:74.07:1416288:1.56:4,825:75.44:1409401:1.23:2,825:77.21:2269205:1.23:0,825:78.03:1834183:1.23:0,825:78.81:1341632:1.23:0,[825:78.9:1509571:0.8:2
ZEN_011720P70,U,U,U,U,U,U,U,U,U,U,U,U,2749:74.07:1416288:3.0:8,2756:75.44:1409401:2.45:52,2784:77.21:2269205:2.0:87,2806:78.03:1834183:1.45:1,2806:78.81:1341632:1.75:3,[2807:78.9:1509571:1.75:23
ZEN_011720P75,U,U,U,U,U,U,U,U,U,U,U,U,1588:74.07:1416288:5.12:7,1593:75.44:1409401:4.4:20,1590:77.21:2269205:3.6:61,1643:78.03:1834183:3.4:17,1643:78.81:1341632:3.11:6,[1647:78.9:1509571:3.0:17
ZEN_011720P77.5,U,U,U,U,U,U,U,U,U,U,U,U,194:74.07:1416288:8.9:0,194:75.44:1409401:8.9:0,194:77.21:2269205:8.9:0,195:78.03:1834183:4.4:11,196:78.81:1341632:4.1:10,[196:78.9:1509571:4.0:12
ZEN_011720P80,U,U,U,U,U,U,U,U,U,U,U,U,1715:74.07:1416288:8.3:5,1715:75.44:1409401:8.3:0,1715:77.21:2269205:6.6:347,1544:78.03:1834183:5.7:16,1543:78.81:1341632:5.3:14,[1533:78.9:1509571:5.4:12
ZEN_011720P82.5,U,U,U,U,U,U,U,U,U,U,U,U,60:74.07:1416288:9.7:0,60:75.44:1409401:9.7:0,60:77.21:2269205:9.7:0,60:78.03:1834183:9.7:0,60:78.81:1341632:9.7:0,[60:78.9:1509571:9.7:0
ZEN_011720P85,U,U,U,U,U,U,U,U,U,U,U,U,1360:74.07:1416288:21.1:0,1360:75.44:1409401:11.04:55,1351:77.21:2269205:11.04:0,1351:78.03:1834183:11.04:0,1351:78.81:1341632:11.04:0,[1351:78.9:1509571:8.5:150
ZEN_011720P87.5,U,U,U,U,U,U,U,U,U,U,U,U,2:74.07:1416288:14.3:0,2:75.44:1409401:14.3:0,2:77.21:2269205:14.3:0,2:78.03:1834183:14.3:0,2:78.81:1341632:14.3:0,[2:78.9:1509571:14.3:0
ZEN_011720P90,U,U,U,U,U,U,U,U,U,U,U,U,131:74.07:1416288:22.48:0,131:75.44:1409401:22.48:0,131:77.21:2269205:14.1:9,122:78.03:1834183:14.1:0,122:78.81:1341632:14.1:0,[122:78.9:1509571:14.1:0
ZEN_011720P92.5,U,U,U,U,U,U,U,U,U,U,U,U,0:74.07:1416288:0.0:0,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_011720P95,U,U,U,U,U,U,U,U,U,U,U,U,95:74.07:1416288:22.36:0,95:75.44:1409401:22.36:0,95:77.21:2269205:22.36:0,108:78.03:1834183:18.0:0,108:78.81:1341632:18.0:0,[108:78.9:1509571:18.0:0
ZEN_011720P105,U,U,U,U,U,U,U,U,U,U,U,U,U,11:75.44:1409401:17.6:0,11:77.21:2269205:17.6:0,0:78.03:1834183:17.6:0,0:78.81:1341632:17.6:0,[0:78.9:1509571:17.6:0
ZEN_122019P110,U,U,U,U,U,U,U,U,U,U,U,U,U,0:75.44:1409401:0.0:0,0:77.21:2269205:0.0:0,0:78.03:1834183:0.0:0,0:78.81:1341632:0.0:0,[0:78.9:1509571:0.0:0
ZEN_011720P110,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:78.03:1834183:21.7:0,0:78.81:1341632:21.7:0,[0:78.9:1509571:21.7:0
